floor_id,building_id,floor_name,floor_number,is_active,created_at,updated_at
add48e1e-3ab7-4842-959c-0f730d18691b,843e4f84-0af5-4dad-9a8a-060f6929dbae,Floor 1,1,True,2026-04-20T11:16:17.412743Z,2026-04-20T11:16:17.412743Z
275999e1-9640-4156-832a-94c0ed1c9f39,f20dc9f0-8f6d-4670-9397-c4aa35252e4b,Floor 1,1,True,2026-04-20T11:16:17.412743Z,2026-04-20T11:16:17.412743Z
c95284c5-97e6-4a56-9405-646d864eff47,5a1942ac-e48b-4224-b6b1-f8f950867920,Floor 0,0,True,2026-04-20T11:16:17.412743Z,2026-04-20T11:16:17.412743Z
2eb0b07c-9535-47ef-b680-6ef91826d944,5a1942ac-e48b-4224-b6b1-f8f950867920,Floor 1,1,True,2026-04-20T11:16:17.412743Z,2026-04-20T11:16:17.412743Z
a35970de-611a-416d-9028-560ce8aa169a,5a1942ac-e48b-4224-b6b1-f8f950867920,Floor 2,2,True,2026-04-20T11:16:17.412743Z,2026-04-20T11:16:17.412743Z
