building_id,city_id,building_name,address,total_floors
874f945a-821e-4a4e-a23f-eb6a83ba6017,1789fd5f-bdee-4bc6-813f-03a71f4f233b,Kumasi Office,,3
3b5a214f-0462-4a22-9716-95be6ad63a21,3a695f33-bd04-4f2e-b47b-ea4eea213a12,Takoradi Office,,3
63faf2b5-5ab7-42d5-8636-ee75a1103d34,d99128e0-22f6-4b3c-904e-9a21529c5379,Accra Office,,5
